,tweet_id,retweets,favorites,timestamp,source,text,hashtags,expanded_urls,jpg_url
1536,793962221541933056,5495,18349,2016-11-02 23:45:19 +0000,Twitter for iPhone,"This is Maximus, His face is stuck like that, Tragic really, Great tongue tho",,"https://twitter.com/dog_rates/status/793962221541933056/photo/1,https://twitter.com/dog_rates/status/793962221541933056/photo/1",https://pbs.twimg.com/media/CwS4aqZXUAAe3IO.jpg
1537,794205286408003585,3723,10029,2016-11-03 15:51:10 +0000,Twitter for iPhone,"This is Laika, She was a space pupper, The first space pupper actually, Orbited earth like a h*ckin boss",,"https://twitter.com/dog_rates/status/794205286408003585/photo/1,https://twitter.com/dog_rates/status/794205286408003585/photo/1,https://twitter.com/dog_rates/status/794205286408003585/photo/1",https://pbs.twimg.com/media/CwWVe_3WEAAHAvx.jpg
1538,794332329137291264,2968,10414,2016-11-04 00:15:59 +0000,Twitter for iPhone,"This is Nimbus (like the cloud), He just bought this fancy af duck raincoat, Only protects one ear tho",,https://twitter.com/dog_rates/status/794332329137291264/photo/1,https://pbs.twimg.com/media/CwYJBiHXgAQlvrh.jpg
1539,794926597468000259,2599,11202,2016-11-05 15:37:24 +0000,Twitter for iPhone,"This is Mack, He's rather h*ckin sleepy, Exceptional ears",,https://twitter.com/dog_rates/status/794926597468000259/photo/1,https://pbs.twimg.com/media/CwglhZVXgAAc3_w.jpg
1540,795076730285391872,6088,17679,2016-11-06 01:33:58 +0000,Twitter for iPhone,"This is Bailey, She loves going down slides but is very bad at it",,"https://twitter.com/dog_rates/status/795076730285391872/photo/1,https://twitter.com/dog_rates/status/795076730285391872/photo/1,https://twitter.com/dog_rates/status/795076730285391872/photo/1",https://pbs.twimg.com/media/CwiuEJmW8AAZnit.jpg
1541,795400264262053889,3218,11010,2016-11-06 22:59:35 +0000,Twitter for iPhone,"This is Brody, He's trying to make the same face as the football",,"https://twitter.com/dog_rates/status/795400264262053889/photo/1,https://twitter.com/dog_rates/status/795400264262053889/photo/1,https://twitter.com/dog_rates/status/795400264262053889/photo/1,https://twitter.com/dog_rates/status/795400264262053889/photo/1",https://pbs.twimg.com/media/CwnUUGTWIAE8sFR.jpg
1542,795464331001561088,26749,54278,2016-11-07 03:14:10 +0000,Twitter for iPhone,Elder doggo does a splash,,https://twitter.com/dog_rates/status/795464331001561088/video/1,https://pbs.twimg.com/ext_tw_video_thumb/795464066940764160/pu/img/jPkMMQXdydb7CqFX.jpg
1543,796031486298386433,4148,11763,2016-11-08 16:47:50 +0000,Twitter for iPhone,"This is Daisy, She's here to make your day better",,https://twitter.com/dog_rates/status/796031486298386433/photo/1,https://pbs.twimg.com/media/CwwSaWJWIAASuoY.jpg
1544,796080075804475393,2594,9199,2016-11-08 20:00:55 +0000,Twitter for iPhone,"This is Yogi, He's 98% floof, Snuggable af",,https://twitter.com/dog_rates/status/796080075804475393/photo/1,https://pbs.twimg.com/media/Cww-msrXcAAxm3K.jpg
1545,796116448414461957,2720,9898,2016-11-08 22:25:27 +0000,Twitter for iPhone,I didn't believe it at first but now I can see that voter fraud is a serious h*ckin issue,,https://twitter.com/dog_rates/status/796116448414461957/photo/1,https://pbs.twimg.com/media/CwxfrguUUAA1cbl.jpg
1546,796149749086875649,16074,35253,2016-11-09 00:37:46 +0000,Twitter for iPhone,"This is Ruby, She just turned on the news, Officially terrified",,"https://twitter.com/dog_rates/status/796149749086875649/photo/1,https://twitter.com/dog_rates/status/796149749086875649/photo/1",https://pbs.twimg.com/media/Cwx99rpW8AMk_Ie.jpg
1547,796387464403357696,4674,11996,2016-11-09 16:22:22 +0000,Twitter for iPhone,"This is Snicku, He's having trouble reading because he's a dog, Glasses only helped a little, Nap preferred",,"https://twitter.com/dog_rates/status/796387464403357696/photo/1,https://twitter.com/dog_rates/status/796387464403357696/photo/1",https://pbs.twimg.com/media/Cw1WKu1UQAAvWsu.jpg
1548,796484825502875648,1972,8254,2016-11-09 22:49:15 +0000,Twitter for iPhone,Here's a sleepy doggo that requested some assistance,,https://twitter.com/dog_rates/status/796484825502875648/photo/1,https://pbs.twimg.com/media/Cw2uty8VQAAB0pL.jpg
1549,796759840936919040,3434,12920,2016-11-10 17:02:03 +0000,Twitter for iPhone,"Say hello to Romeo, He was just told that it's too cold for the pool, H*ckin nonsense",,"https://twitter.com/dog_rates/status/796759840936919040/photo/1,https://twitter.com/dog_rates/status/796759840936919040/photo/1",https://pbs.twimg.com/media/Cw6o1JQXcAAtP78.jpg
1550,796865951799083009,2133,8343,2016-11-11 00:03:42 +0000,Twitter for iPhone,"This is Tyr, He's just checking on you, Nifty af tongue slip",,https://twitter.com/dog_rates/status/796865951799083009/photo/1,https://pbs.twimg.com/media/Cw8JWZ2UsAAJOZ6.jpg
1551,797236660651966464,7436,21780,2016-11-12 00:36:46 +0000,Twitter for iPhone,"This is Pancake, She loves Batman and winks like a h*ckin champ",,"https://twitter.com/dog_rates/status/797236660651966464/photo/1,https://twitter.com/dog_rates/status/797236660651966464/photo/1",https://pbs.twimg.com/media/CxBafisWQAAtJ1X.jpg
1552,797545162159308800,5446,15796,2016-11-12 21:02:38 +0000,Twitter for iPhone,"This is Cassie, She steals things, Guilt increases slightly each time",,"https://twitter.com/dog_rates/status/797545162159308800/photo/1,https://twitter.com/dog_rates/status/797545162159308800/photo/1,https://twitter.com/dog_rates/status/797545162159308800/photo/1,https://twitter.com/dog_rates/status/797545162159308800/photo/1",https://pbs.twimg.com/media/CxFzFAAUAAA5C9z.jpg
1553,797971864723324932,3523,12688,2016-11-14 01:18:12 +0000,Twitter for iPhone,"Here's a helicopter pupper, He takes off at random, H*ckin hard to control",,"https://twitter.com/dog_rates/status/797971864723324932/photo/1,https://twitter.com/dog_rates/status/797971864723324932/photo/1",https://pbs.twimg.com/media/CxL3IWeVEAAAIE2.jpg
1554,798209839306514432,2861,11295,2016-11-14 17:03:50 +0000,Twitter for iPhone,"This is Cooper, His bow tie was too heavy for the front so he moved it to the side, Balanced af now",,https://twitter.com/dog_rates/status/798209839306514432/photo/1,https://pbs.twimg.com/media/CxPPnCYWIAAo_ao.jpg
1555,798925684722855936,1608,8087,2016-11-16 16:28:21 +0000,Twitter for iPhone,"This is Shadow, He's a firm believer that they're all good dogs, H*ckin passionate about it too",,https://twitter.com/dog_rates/status/798925684722855936/photo/1,https://pbs.twimg.com/media/CxZaqh_WQAA7lY3.jpg
1556,798933969379225600,5033,14334,2016-11-16 17:01:16 +0000,Twitter for iPhone,"This is Iroh, He's in a predicament",,"https://twitter.com/dog_rates/status/798933969379225600/photo/1,https://twitter.com/dog_rates/status/798933969379225600/photo/1",https://pbs.twimg.com/media/CxZiLcLXUAApMVy.jpg
1557,799063482566066176,2757,8803,2016-11-17 01:35:54 +0000,Twitter for iPhone,"This is Mister, He only wears the most fashionable af headwear",,"https://twitter.com/dog_rates/status/799063482566066176/photo/1,https://twitter.com/dog_rates/status/799063482566066176/photo/1,https://twitter.com/dog_rates/status/799063482566066176/photo/1,https://twitter.com/dog_rates/status/799063482566066176/photo/1",https://pbs.twimg.com/media/CxbX_n2WIAAHaLS.jpg
1558,799297110730567681,3112,10793,2016-11-17 17:04:16 +0000,Twitter for iPhone,"This is Jeffrey, He's quite the jokester, Takes it too far sometimes",,"https://twitter.com/dog_rates/status/799297110730567681/photo/1,https://twitter.com/dog_rates/status/799297110730567681/photo/1",https://pbs.twimg.com/media/CxeseRgUoAM_SQK.jpg
1559,799422933579902976,2143,8755,2016-11-18 01:24:14 +0000,Twitter for iPhone,"This is Longfellow (prolly sophisticated), He's a North Appalachian Oatzenjammer, Concerned about wrinkled feets",,https://twitter.com/dog_rates/status/799422933579902976/photo/1,https://pbs.twimg.com/media/Cxge6AdUQAAvXLB.jpg
1560,799757965289017345,2426,9150,2016-11-18 23:35:32 +0000,Twitter for iPhone,"This is Sobe, She's a h*ckin happy doggo, Only one leg tho, Must have good balance",,"https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1",https://pbs.twimg.com/media/CxlPnoSUcAEXf1i.jpg
1561,800018252395122689,14781,30899,2016-11-19 16:49:49 +0000,Twitter for iPhone,Here's a doggo doin a struggle,,https://twitter.com/dog_rates/status/800018252395122689/video/1,https://pbs.twimg.com/ext_tw_video_thumb/800018199223959552/pu/img/3Qp73edtkZO-qWPy.jpg
1562,800141422401830912,2874,16644,2016-11-20 00:59:15 +0000,Twitter for iPhone,"This is Peaches, She's the ultimate selfie sidekick, Super sneaky tongue slip appreciated",,"https://twitter.com/dog_rates/status/800141422401830912/photo/1,https://twitter.com/dog_rates/status/800141422401830912/photo/1,https://twitter.com/dog_rates/status/800141422401830912/photo/1",https://pbs.twimg.com/media/CxqsX-8XUAAEvjD.jpg
1563,800388270626521089,3145,12123,2016-11-20 17:20:08 +0000,Twitter for iPhone,"This is Doc, He takes time out of every day to worship our plant overlords",,"https://twitter.com/dog_rates/status/800388270626521089/photo/1,https://twitter.com/dog_rates/status/800388270626521089/photo/1,https://twitter.com/dog_rates/status/800388270626521089/photo/1",https://pbs.twimg.com/media/CxuM3oZW8AEhO5z.jpg
